,user_id,location_id,latitude,longitude,previous,categorie,categorie_id,borough_id,area_id
0,9,909,-73.93786213,40.80463955,909,Bus Station,5,1,74
1,9,938,-73.87925863,40.8286022,909,Subway,0,2,248
2,9,917,-73.88307006,40.82477735,938,Home (private),6,2,212
3,86,3696,-73.87741936,40.71285903,3696,Salon / Barbershop,70,4,160
4,239,670,-73.99055958,40.73652697,670,Food & Drink Shop,100,1,234
5,171,759,-73.95129204,40.82670252,759,Bus Station,30,1,116
6,30,1124,-73.9411211,40.70024353,1124,Subway,0,3,37
7,239,2419,-74.01401281,40.70491221,670,Subway,0,1,261
8,77,3461,-73.94593309,40.78986319,3461,Fast Food Restaurant,74,1,75
9,239,1891,-74.01321429,40.70145732,2419,Ferry,248,1,88
10,11,1035,-73.99061002,40.69572209,1035,Park,12,3,65
11,30,1880,-73.93010371,40.69321218,1124,Home (private),6,3,225
15,183,224,-73.97717535,40.75280621,224,Train Station,21,1,162
16,186,5478,-73.88981404,40.75898179,5478,Automotive Shop,68,4,129
17,239,1882,-74.07295704,40.64440554,5227,Ferry,248,5,206
18,171,940,-73.9442163,40.8247747,759,Subway,0,1,116
19,9,921,-73.989999,40.69321652,917,Subway,0,3,65
20,183,5426,-73.92185211,40.83592439,224,Bus Station,30,2,247
21,11,182,-73.98738384,40.69147465,1035,Subway,0,3,65
22,40,204,-74.00015652,40.71814377,204,Subway,0,1,231
24,2,299,-74.00596619,40.71421606,299,Neighborhood,4,1,231
25,11,259,-73.90339851,40.67837611,182,Subway,0,3,177
26,239,6050,-74.14161271,40.63404533,1882,Home (private),6,5,187
28,183,5427,-73.89482953,40.82645768,5426,Home (private),6,2,167
29,182,5410,-74.02759378,40.62229464,5410,Fast Food Restaurant,74,3,14
30,11,1037,-73.88733352,40.64249154,259,Other Great Outdoors,181,3,39
33,2,229,-74.01118577,40.70919832,299,Park,12,1,261
34,79,3522,-73.90887022,40.66263818,3522,Train Station,37,3,35
36,86,3667,-73.88307006,40.71616168,3696,Home (private),6,4,160
40,15,1320,-74.00588036,40.71265873,1245,Government Building,171,1,231
42,2,268,-74.00755405,40.71037756,229,Subway,0,1,209
43,136,4697,-73.95249367,40.75876539,4697,American Restaurant,41,1,202
45,15,1312,-73.9935598,40.72048005,1320,Music Venue,101,1,148
46,9,674,-73.98889982,40.6921107,921,Burger Joint,73,3,65
47,134,4674,-73.96728564,40.75686978,4674,Bar,151,1,229
51,167,5188,-73.984641,40.721719,5188,Ice Cream Shop,91,1,148
53,10,966,-73.98931503,40.74137194,966,Subway,0,1,234
54,209,4663,-73.96870332,40.7575775,4663,Residential Building (Apartment / Condo),17,1,229
55,4,306,-73.9758855,40.751633,306,Subway,0,1,162
56,10,169,-73.99056762,40.73573435,966,Subway,0,1,234
57,10,224,-73.97717535,40.75280621,169,Train Station,21,1,162
58,57,1001,-73.98882151,40.76430758,793,Bar,200,1,48
60,25,1688,-73.792836,40.780227,1688,Road,11,4,15
62,4,461,-73.99085999,40.67282676,306,Train Station,37,3,106
63,10,962,-73.939147,40.80514464,224,Train Station,21,1,74
64,116,4320,-73.99004187,40.76192747,4320,Mediterranean Restaurant,261,1,48
67,230,5974,-73.9890146,40.71918331,5974,College Academic Building,277,1,148
69,52,677,-73.98914337,40.75850534,677,Hotel,40,1,48
72,2,269,-73.95194304,40.70706694,263,Laundry Service,19,3,256
74,52,2698,-73.97773325,40.74954093,677,Hotel,40,1,170
75,52,2706,-73.884723,40.8309567,2698,Building,31,2,60
77,167,5186,-73.98317224,40.72517114,5188,Bar,65,1,79
78,182,2222,-73.9503479,40.58475655,5410,Road,11,3,150
82,52,677,-73.98914337,40.75850534,2706,Hotel,40,1,48
83,192,5534,-73.9855884,40.7192381,5534,Bar,226,1,232
84,13,1219,-73.76331,40.68083,1219,BBQ Joint,168,4,205
86,0,4,-73.94957542,40.6501689,4,Neighborhood,4,3,85
87,62,3008,-73.89482953,40.76723746,3008,Home (private),6,4,223
88,0,5,-73.94822344,40.70402767,4,Bus Station,5,3,217
90,206,5686,-73.91834636,40.6618636,5686,Home (private),6,3,35
91,209,5742,-73.97712596,40.73944139,4663,Home (private),6,1,137
92,182,5401,-73.93010371,40.59424065,2222,Home (private),6,3,210
93,9,740,-73.95039082,40.82650767,674,Subway,0,1,116
94,9,903,-73.94643249,40.82709357,740,Deli / Bodega,9,1,116
95,52,2697,-73.99148807,40.75215522,677,Hotel,40,1,100
97,9,912,-73.94554276,40.82726952,903,Movie Theater,194,1,116
98,11,1066,-73.971806,40.693233,1037,Deli / Bodega,9,3,97
99,196,5575,-73.91834636,40.67175647,5575,Home (private),6,3,177
100,124,4458,-73.93010371,40.70310011,4458,Home (private),6,3,37
102,11,1107,-73.91497345,40.65612312,1066,Southern / Soul Food Restaurant,26,3,72
104,42,2362,-73.96306124,40.79884088,2362,Bar,151,1,151
106,241,6070,-73.83602511,40.87719935,6070,Home (private),6,2,51
107,79,3521,-73.9065883,40.6601875,3522,Home (private),6,3,35
108,52,2705,-73.78329584,40.64895636,2697,Airport,57,4,132
109,57,985,-73.987953,40.76443027,1001,Diner,14,1,48
110,4,470,-73.99581515,40.67578795,461,Other Nightlife,45,3,40
111,2,165,-73.94424319,40.80036117,269,Office,76,1,74
112,52,2695,-73.7823987,40.64407991,2705,Airport,57,4,132
113,116,2452,-73.987898,40.743854,4320,Gym / Fitness Center,106,1,234
118,16,1334,-73.955353,40.598891,1334,Bank,29,3,149
119,39,2263,-73.82655859,40.58358323,2262,Train Station,37,4,201
120,12,1131,-73.94186034,40.70477381,1131,Home (private),6,3,37
121,50,2628,-73.79292423,40.7876154,2628,Other Great Outdoors,96,4,252
122,196,5573,-73.92379743,40.67595516,5575,French Restaurant,155,3,61
125,49,1329,-73.84082794,40.86127791,1329,Neighborhood,4,2,3
128,52,2695,-73.7823987,40.64407991,2695,Airport,57,4,132
130,148,1666,-73.99287701,40.74296517,1666,Subway,0,1,90
131,21,1526,-74.00622498,40.65543162,1526,Deli / Bodega,9,3,228
132,187,5482,-73.90470798,40.85477511,5482,School,51,2,169
137,196,5577,-73.92373428,40.67595516,5573,Residential Building (Apartment / Condo),17,3,61
139,2,309,-74.01002954,40.71107156,165,Subway,0,1,261
141,148,4897,-73.98845792,40.7376978,1666,Office,52,1,234
142,12,1129,-73.9425578,40.70316703,1131,Miscellaneous Shop,25,3,80
146,12,196,-73.95375967,40.71424858,1129,Neighborhood,4,3,255
147,16,1335,-73.97569973,40.75270452,207,Office,52,1,162
